Report generated on: 07-31-2025 16:15:05
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","63987.8","60602","58100.1","57929.3","59563.45793989071","59156.12542984","61534.95768046341","62101.270443814006","64398.73170572238","65524.91126314932","66437.18390581224","66338.8510971412","66551.97017470587","66337.0461890411","68404.80921369862","69738.19869863013","71406.80327595628","73756.4791369863","74754.92657260274","73443.88635068493","75621.9029039071","75764.24187706849","75599.86189315068","79071.85107671232","83435.74040437158","84702.43381643835","85225.20444109589","85434.13523835616","86897.90228361203","85866.65193463014","87383.85769658173","88534.04753508356","90802.57713702241","91370.21512628584","93947.33451624932","96649.51677230548","97093.81223053481","97978.95840669441","100672.45375157705","100367.43169888928","93909.16161983609","95674.31449439698","100197.1715419099","102218.58492540671","102749.3767463095"
"INTL.55-1-WORL-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","63092.9","59785.5","57242.9","57123.7","58613.7","58186.9","60769.573","61257.573","63496.754","64633.954","65482.054","65316.436","65405.968","65570.71742191781","67636.84756986302","68963.81239726028","70569.74043442623","72907.07639726027","73868.78136712329","72557.50552876713","74673.9766743989","74860.92680857534","74643.30024931507","78097.85655616438","81296.71975409836","82589.97221369862","83070.31793424657","83281.14583013699","84768.9434125683","83771.79918356164","85221.31471463242","86363.77454206986","88628.48994239945","89178.12374565571","91719.43129431095","94373.42947751096","94811.52459042551","95645.3447147766","98303.91380513868","98020.85283053311","91801.9488971585","93411.44704544285","97887.73251620114","99890.53546794079","100474.19727803174"
"INTL.57-1-WORL-TBPD.A","                Crude oil including lease condensate (Mb/d)","50359.734","50376.905","47570.995","51743.766","53881.362","54259.53","56617.534","59557.68724043715","55899.592030136984","53453.196824657534","53249.761994520544","54498.53904080289","53965.4347203372","56326.14124383562","56649.39526022825","58696.60208757449","59802.71265338047","60497.91240205605","60128.17913766742","60100.69769622195","58754.467657534246","60577.42822465753","61568.593884931506","62841.40155737705","65001.26453972603","65921.77018082191","64359.98553150685","66358.85128333334","66326.6145869041","65772.88455342465","70184.39243561644","72918.51109562842","74057.40362191781","74208.60435068494","74224.12144383561","74549.08002459016","73240.99048767124","74450.70914696119","75095.4908417959","76691.82487108797","76817.1133063863","78631.5586949959","80938.14948846986","80986.64142349726","81205.82759092","82933.4229995532","82127.8640468341","75865.13224714262","77049.61278121168","80730.86838173567","81822.41350518628","81692.5173591174"
"INTL.58-1-WORL-TBPD.A","                NGPL (Mb/d)","","","","","","","","3446.28975","3630.69","3631.8","3643.3","3872.7","3933","4162.9","4284.5","4498.4","4512.4","4644.9","4816.557","4847.6127","6113.33205479452","6221.953030136986","6457.514643835617","6759.089909836066","6886.417906849315","6894.876038356165","7106.100139726027","7196.929950819672","7366.641561643835","7562.908726027397","6552.166515068493","6747.621827868852","6909.867591780822","7028.919602739726","7042.143073972603","8246.372702185792","8408.914726027397","8089.190112876712","8413.31784","8919.93228169399","9078.192036529681","9606.533719863013","9945.69395890411","10244.796360655737","10795.869410608484","11451.736670458435","11916.958618423354","12146.325393020388","12406.488192803145","13002.7747334536","13571.735674089085","14151.686574867908"
"INTL.59-1-WORL-TBPD.A","                Other liquids (Mb/d)","","","","","","","","89","105","157","231","242","288.6","280.8","323.9","303","320.2","341.1","371.22","457.5","702.9177095890411","837.4663150684931","937.7038684931507","969.2489672131147","1019.3939506849315","1052.1351479452055","1091.4198575342466","1118.1954402459016","1167.6706600273972","1307.5069698630136","1361.297605479452","1630.586830601093","1622.701","1832.7939808219178","2014.881312328767","1973.4906857923497","2121.893969863014","2681.4154547945204","2854.965860273973","3016.7327896174866","3282.818402739726","3481.3388794520547","3489.586030136986","3580.0868062725135","3643.6477132481086","3918.754135127061","3976.030165275662","3790.4912569954686","3955.346071428026","4154.089401011882","4496.386288665416","4629.993344046438"
"INTL.56-1-WORL-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","894.7","816.3","856","804.4","948.9","967.8003750454794","764.6491061795","841.0735498680608","895.8889917449252","882.3639560706441","952.4592997950449","1022.4302153028248","1143.310902260657","1234.622087671233","1294.2616438356165","1411.686301369863","1527.0628415300546","1563.4027397260274","1646.045205479452","1704.3808219178081","1843.9262893896775","1838.5030751199315","1908.8171327880136","1986.466984610437","2139.020650273224","2112.461602739726","2154.886506849315","2152.989408219178","2128.958871043716","2094.852751068493","2162.542981949315","2170.2729930136984","2174.087194622951","2192.091380630137","2227.903221938356","2276.0872947945204","2282.2876401092894","2333.6136919178084","2368.5399464383563","2346.5788683561645","2107.2127226775956","2262.8674489541286","2309.4390257087693","2328.04945746593","2275.1794682777677"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
